STATE,"Combined Heat and Power, Commercial Power","Combined Heat and Power, Electric Power","Combined Heat and Power, Industrial Power","Electric Generators, Electric Utilities","Electric Generators, Independent Power Producers",Total Electric Power Industry
AK,350962,199567,111166,5229885,51947,5943528
AL,0,4031284,4640626,107332202,26951021,142955138
AR,62136,1023489,1196173,53337372,4610967,60230136
AZ,154108,52607,0,86348455,22053365,108608533
CA,2400830,12417290,13513448,61737283,106658255,196727105
CO,36299,36629,256188,41364397,15044204,56737718
CT,316117,123788,612115,94322,42977227,44123571
DC,192256,0,0,0,25982,218238
DE,5393,120682,911931,27602,2974363,4039971
FL,94938,1687471,4627609,227993630,9997385,244401034
GA,4711,527596,5095129,102646392,18256917,126530744
HI,364607,2294287,221674,4721460,1586065,9188093
IA,142153,4065,2065820,54854479,9053749,66120267
ID,68356,67389,549112,10963688,5300045,16948588
IL,479423,678169,2604843,4449699,173647234,181859368
IN,252338,7702676,4635236,60991576,20983341,94565164
KS,14183,0,227115,33280052,23224603,56745953
KY,0,0,488379,69475329,590555,70554263
LA,178332,2744341,27210836,63497633,4430822,98061963
MA,615109,1545819,205260,475936,16524875,19366997
MD,903741,2354505,48121,3471174,32941750,39719295
ME,97588,383725,1791822,2757,8676883,10952775
MI,666788,11961234,1309135,82022523,20085706,116045383
MN,294467,1060443,1009953,42688351,14574805,59628021
MO,194533,35308,43681,70672592,6869866,77815979
MS,0,0,1973656,63535757,3203912,68713326
MT,0,454274,35041,10341964,13635359,24466639
NC,272099,214176,1785586,110756159,18234662,131262683
ND,1062,0,151658,33414347,9138170,42705233
NE,17924,0,344119,28818114,9464488,38644645
NH,64791,0,29005,660628,16680566,17434992
NJ,643265,6911564,471205,62574,53297915,61386525
NM,121998,20252,47907,21893409,13187732,35271295
NV,627385,2183913,337614,27261574,11469702,41880183
NY,1283599,11479531,823690,37266097,74373104,125226023
OH,253877,1593691,746446,12554826,108186770,123335607
OK,0,0,839102,36250896,43474125,80564126
OR,81271,5909188,631596,39845286,14614496,61081837
PA,384085,7924378,2728318,108593,230502987,241648360
RI,57447,0,137274,2,7840292,8035014
SC,2208,681914,1804883,94331674,3103724,99924403
SD,12,0,28443,9905268,7900910,17834631
TN,205812,0,2204479,78603226,465366,81478885
TX,612266,41947893,41286435,82082918,317632263,483561772
US-TOTAL,13147622,132382347,139607169,2216234058,1614168959,4115540153
UT,126451,53816,416951,37112552,4947012,42656778
VA,331937,1012106,2333896,73103689,17527389,94309018
VT,3141,0,0,915002,1229589,2147736
WA,28075,0,2101579,94110726,12882338,109122717
WI,139559,943291,1451526,51160713,11783588,65478673
WV,0,0,1286665,47093799,17250096,65630557
WY,0,0,2234720,37365468,4050482,43650670
